house_no,street,city,state,zip_raw,zip_clean
2975,WEST 33RD STREET,BROOKLYN,NY,112240000,11224
2263,BATCHELDER ST,BROOKLYN,NY,112290000,11229
272,WYCKOFF ST,BROOKLYN,NY,112170000,11217
250,CLARKSONA AVE,BROOKLYN,NY,112260000,11226
638,PARK PLACE,BROOKLYN,NY,112380000,11238
360,CHESTER STREET,BROOKLYN,NY,112120000,11212
2502,CORTELYOU ROAD,BROOKLYN,NY,112260000,11226
50,SHORE BOULEVARD,BROOKLYN,NY,112350000,11235
1656,STERLING PLACE,BROOKLYN,NY,112330000,11233
2321,MERMAID AVENUE,BROOKLYN,NY,112240000,11224
1600,CATON AVENUE,BROOKLYN,NY,112260000,11226
179,E. 32ND ST,BROOKLYN,NY,112260000,11226
26,E 96 ST,BROOKLYN,NY,112120000,11212
304,MALCOLM X BLVD,BROOKLYN,NY,112330000,11233
882,44TH ST.,BROOKLYN,NY,112200000,11220
924,AVE S,BROOKLYN,NY,112230000,11223
520,EAST 9TH ST,LROOKLYN,NY,112180000,11218
520,EAST 9TH ST,LROOKLYN,NY,112180000,11218
520,EAST 9TH ST,LROOKLYN,NY,112180000,11218
913,CORTELYOU ROAD,BROOKLYN,NY,112180000,11218
407,EAST 29TH STREET,BROOKLYN,NY,112260000,11226
2917,FULTON STREET,BROOKLYN,NY,112070000,11207
3326,FULTON STREET,BROOKLYN,NY,112080000,11208
3288,FULTON AVENUE,BROOKLYN,NY,112080000,11208
781,OCEAN AV E,BROOKLYN,NY,112250000,11225
967,46THF STREET,BROOKLYN,NY,112190000,11219
648,DEAN ST,BROOKLYN,NY,112380000,11238
73,PATCHEN AVE,BROOKLYN,NY,112210000,11221
46,SHEPHERD AVENUE,BROOKLYN,NY,112080000,11208
2600,EAST 26TH STREET,BROOKLYN,NY,112350000,11235
306,HARMAN ST,BROOKLYN,NY,112370000,11237
229,MARION STREET,BROOKLYN,NY,112330000,11233
2404,SNYDER AVE,BROOKLYN,NY,112260000,11226
186,NORFOLK ST,BROOKLYN,NY,112350000,11235
1029,41ST STREET,BROOKLYN,NY,112190000,11219
2077,PACIFIC STREET,BROOKLYN,NY,112330000,11233
205,ATKINS AVE,BROOKLYN,NY,112080000,11208
621,VANDOLIA AVE,BROOKLYN,NY,112390000,11239
450,KENT AVE,BROOKLYN,NY,112490000,11249
1351,E 65TH STREET,BROOKLYN,NY,112340000,11234
153,EAST 40TH STREET,BROOKLYN,NY,112030000,11203
77,SULLIVAN PLACE,BROOKLYN,NY,112250000,11225
580,FLATBUSH AVENUE,BROOKLYN,NY,112250000,11225
373,MARION STREET,BROOKLYN,NY,112330000,11233
268,MILFORD STREET,BROOKLYN,NY,112080000,11208
356,LAFAYETTE AVENUE,BROOKLYN,NY,112380000,11238
251,50TH STREET,BROOKLYN,NY,112200000,11220
1557,PRESIDENT STREET,BROOKLYN,NY,112130000,11213
184,MACDONOUGH STREET,BROOKLYN,NY,112160000,11216
184,MACDONOUGH STREET,BROOKLYN,NY,112160000,11216
29,EAST 95TH ST,BROOKLYN,NY,112120000,11212
1056,EAST 59TH STREET,BROOKLYN,NY,112340000,11234
234,SANDS STREET,BROOKLYN,NY,112010000,11201
433,LAFAYETTE AVE,BROOKLYN,NY,112380000,11238
114,MAUJER STREET,BROOKLYN,NY,112060000,11206
34,STODDARD PL,BROOKLYN,NY,112250000,11225
2020,ALBEMARLE ROAD,BROOKLYN,NY,112260000,11226
134,WILSON AVENUE,BROOKLYN,NY,112370000,11237
2239,TROY AVENUE,BROOKLYN,NY,112340000,11234
42,LEWIS AVENUE,BROOKLYN,NY,112060000,11206
433,E. 91ST,BROOKLYN,NY,112120000,11212
716,QUINCY STREET,BROOKLYN,NY,112210000,11221
2404,MERMAID AVENUE,BROOKLYN,NY,112240000,11224
1069,LINCOLN PLACE,BROOKLYN,NY,112130000,11213
651,EAST 85TH ST,BROOKLYN,NY,112360000,11236
1141,EAST 83RD ST.,BROOKLYN,NY,112360000,11236
1141,EAST 83RD ST.,BROOKLYN,NY,112360000,11236
1141,EAST 83RD ST.,BROOKLYN,NY,112360000,11236
50,PAERDEGAT 3RD ST,BROOKLYN,NY,112360000,11236
1156,GLENMORE AVENUE,BROOKLYN,NY,112080000,11208
104,15TH STREET,BROOKLYN,NY,112150000,11215
320,EMPIRE BOULEVARD,BROOKLYN,NY,112250000,11225
385,E. 34TH ST.,BROOKLYN,NY,112030000,11203
460,KOSCIUSKO ST.,BROOKLYN,NY,112210000,11221
457,43RD ST.,BROOKLYN,NY,112320000,11232
6220,10TH AVE,BROOKLYN,NY,112190000,11219
6220,10TH AVE,BRQOKLYN,NY,112190000,11219
346,MIDWOOD ST,BROOKLYN,NY,112250000,11225
715,RIVERDALE AVE,BROOKLYN,NY,112070000,11207
234,BRIGHTON 2ND LANE,BROOKLYN,NY,112350000,11235
561,CHESTER STRET,BROOKLYN,NY,112120000,11212
465,E. 93 STREET,BROOKLYN,NY,112120000,11212
1536,68TH STREET,BROOKLYN,NY,112190000,11219
60,HENDRIX STREET,BROOKLYN,NY,112700000,11270
1329,DECATUR STREET,BROOKLYN,NY,112370000,11237
177,MARTENSE STREET,BROOKLYN,NY,112260000,11226
294A,BROOKLYN AVENUE,BROOKLYN,NY,112130000,11213
83,EAST 40 STREET,BROOKLYN,NY,112030000,11203
83,EAST 40 STREET,BROOKLYN,NY,112030000,11203
83,EAST 40 STREET,BROOKLYN,NY,112030000,11203
1202,HALSEY STREET,BROOKLYN,NY,112070000,11207
1756,WEST 1ST STREET,BROOKLYN,NY,112230000,11223
1408,AVENUE L,BROOKLYN,NY,112300000,11230
4515,12TH AVENUE,BROOKLYN,NY,112190000,11219
416,CHRISTOPHER AVENUE,BROOKLYN,NY,112120000,11212
716,E. 81ST STREET,BROOKLYN,NY,112360000,11236
1432,STERLING PLACE,BROOKLYN,NY,112130000,11213
47,MCKEEVER PLACE,BROOKLYN,NY,112250000,11225
590,FLATBUSH AVENUE,BROOKLYN,NY,112250000,11225
580,FLATBUSH AVENUE,BROOKLYN,NY,112250000,11225
1540,KIMBALL STREET,BROOKLYN,NY,112340000,11234
1732,62ND STREET,BROOKLYN,NY,112040000,11204
6,MANHATTAN COURT,BROOKLYN,NY,112230000,11223
140,22ND STREET,BROOKLYN,NY,112320000,11232
527A,MACON STREET,BROOKLYN,NY,112330000,11233
7314,12TH AVENUE,BROOKLYN,NY,112280000,11228
136,WINTHROP STREET,BROOKLYN,NY,112250000,11225
136,WINTHROP STREET,BROOKLYN,NY,112250000,11225
1565,ST. JOHNS PLACE,BROOKLYN,NY,112130000,11213
541,WYTHE AVENUE,BROOKLYN,NY,112490000,11249
541,WYTHE AVENUE,BROOKLYN,NY,112490000,11249
1472,EAST 87TH STREET,BROOKLYN,NY,112360000,11236
2404,SNYDER AVE,BROOKLYN,NY,112260000,11226
754,BARBEY ST,BROOKLYN,NY,112070000,11207
14,STRYKER CT,BROOKLYN,NY,112230000,11223
2433,EAST 1ST STREET,BROOKLYN,NY,112230000,11223
3713,POLAR STREET,BROOKLYN,NY,112240000,11224
1745,CATON AVENUE,BROOKLYN,NY,112260000,11226
1467,PACIFIC STREET,BROOKLYN,NY,112160000,11216
1267,HERKIMER STREET,BROOKLYN,NY,112330000,11233
45,HALSEY STREET,BROOKLYN,NY,112160000,11216
2172,STRAUSS ST,BROOKLYN,NY,112120000,11212
4112,FORT HAMILTON PARKWAY,BROOKLYN,NY,112190000,11219
1752,STERLING PLACE,BROOKLYN,NY,112330000,11233
1310,PENNSYLVANIA AVENUE,BROOKLYN,NY,112390000,11239
132,RALPH AVENUE,BROOKLYN,NY,112330000,11233
1482,ST JOHNS PLACE,BROOKLYN,NY,112130000,11213
250,BROADWAY,NEW YORK,NY,100070000,10007
311,ROGERS AVENUE,BROOKLYN,NY,112250000,11225
545,BROADWAY,BROOKLYN,NY,112060000,11206
440,EAST 55TH STREET,BROOKLYN,NY,112030000,11203
225,UNION AVENUE,BROOKLYN,NY,112110000,11211
350,HIGHLAND DRIVE,"LEWISVILLE, TX",NY,750670000,75067
15,VERBENA AVENUE,FLORAL PARK,NY,110010000,11001
2564,BEDFORD AVENUE,BROOKLYN,NY,112260000,11226
734,HENDRIX STREET,BROOKLYN,NY,112070000,11207
361,LIVONIA AVENUE,BROOKLYN,NY,112120000,11212
253A,BAINBRIDGE STREET,BROOKLYN,NY,112330000,11233
378,HOOPER STREET,BROOKLYN,NY,112110000,11211
245,WORTMAN AVENUE,BROOKLYN,NY,112070000,11207
1122,OCEAN AVENUE,BROOKLYN,NY,112300000,11230
853,EMPIRE BOULEVARD,BROOKLYN,NY,112130000,11213
770,NEW YORK AVENUE,BROOKLYN,NY,112030000,11203
107,BROOKLYN AVENUE,BROOKLYN,NY,112160000,11216
300,LINDEN BOULEVARD,BROOKLYN,NY,112260000,11226
1245,EASTERN PARKWAY,BROOKLYN,NY,112130000,11213
267,BARBEY STREET,BROOKLYN,NY,112070000,11207
164,MONTAUK AVENUE,BROOKLYN,NY,112080000,11208
8305,3RD AVENUE,BROOKLYN,NY,112090000,11209
18,RALEIGH PLACE,BROOKLYN,NY,111220000,11122
909,GREENE AVENUE,BROOKLYN,NY,112210000,11221
64,DOSCHER STREET,BROOKLYN,NY,112080000,11208
